type,element,nominaal,upptol,lowtol,gemeten,afwijking,eval
Tol_Flt,Flt-Ref K fijn,0.0,0.01,0.0,0.0,0.0,0
Tol_Pos_Pln,Pos-Ref K fijn,0.0,0.05,0.0,0.0,0.0,0
Tol_Flt,Flt-Ref V,0.0,0.01,0.0,0.0,0.0,0
Tol_Pos_Pln,Pos-Ref V,0.0,0.05,0.0,0.0,0.0,0
Tol_PosX,PosX-Ref V,-49.459,0.025,-0.025,-49.459,0.0,0
Tol_PosX,PosX-Ref V1,-49.459,0.025,-0.025,-49.459,0.0,0
Tol_PosX,PosX-Ref V2,-49.459,0.025,-0.025,-49.459,0.0,0
Tol_PosX,PosX-Ref V3,-49.459,0.025,-0.025,-49.459,0.0,0
Tol_PosX,PosX-Ref V4,-49.459,0.025,-0.025,-49.459,0.0,0
Tol_Diam1,Diam1-� 5G5,5.016,0.009,0.004,5.032,-0.016,2
Tol_Pos,Pos-� 5G5,0.0,0.01,0.0,0.0,0.0,0
Tol_Diam1,Diam1-� 5G5 (2),5.016,0.009,0.004,5.032,-0.016,2
Tol_Pos,Pos-� 5G5 (2),0.0,0.01,0.0,0.0,0.0,0
Tol_Dst,Dst-pos 100_1,5.016,0.009,0.004,5.032,-0.016,2
Tol_Dst,Dst-pos 100_2,5.016,0.009,0.004,5.032,-0.016,2
Tol_PosZ,PosZ-midden sleufje 5G6,60.0,0.005,-0.005,60.0,0.0,0
Tol_Flt,Flt-Vlak N,0.0,0.01,0.0,0.0,0.0,0
Tol_Pos_Pln,Pos-Vlak N,0.0,0.05,0.0,-0.032,0.032,0
Tol_PosX,PosX-Ref N1,-42.776,0.025,-0.025,-42.792,0.016,0
Tol_PosX,PosX-Ref N2,-42.776,0.025,-0.025,-42.792,0.016,0
Tol_PosX,PosX-Ref N3,-42.776,0.025,-0.025,-42.792,0.016,0
Tol_PosX,PosX-Vlak N,-42.776,0.025,-0.025,-42.792,0.016,0
Tol_Flt,Flt-Vlak R,0.0,0.005,0.0,-0.0001,0.0001,0
Tol_Pos_Pln,Pos-Vlak R,0.0,0.05,0.0,-0.0338,0.0338,0
Tol_PosX,PosX-Ref R1,-20.016,0.025,-0.025,-20.031999999999996,0.016,0
Tol_PosX,PosX-Ref R2,-20.016,0.025,-0.025,-20.031999999999996,0.016,0
Tol_PosX,PosX-Ref R3,-20.016,0.025,-0.025,-20.031999999999996,0.016,0
Tol_PosX,PosX-Vlak R,-20.016,0.025,-0.025,-20.0327,0.0167,0
Tol_Flt,Flt-Vlak O,0.0,0.005,0.0,0.0,0.0,0
Tol_Pos_Pln,Pos-Vlak O,0.0,0.05,0.0,-0.032,0.032,0
Tol_PosX,PosX-Vlak O1,10.984,0.025,-0.025,10.968,0.016,0
Tol_PosX,PosX-Vlak O2,10.984,0.025,-0.025,10.968,0.016,0
Tol_PosX,PosX-Vlak O3,10.984,0.025,-0.025,10.968,0.016,0
Tol_PosX,PosX-Vlak O,10.984,0.025,-0.025,10.968,0.016,0
Tol_Pos_Pln,Pos-Pos 258,0.0,0.05,0.0,-0.116,0.116,2
Tol_PosZ,PosZ-Pos 258,-23.008,0.025,-0.025,-23.066,0.058,2
Tol_Flt,Flt-Ref L,0.0,0.005,0.0,0.0,0.0,0
Tol_Angle,Angle-pos 42,54.0,0.025,-0.025,54.0,0.0,0
Tol_Pos_Pln,Pos-Ref L,0.0,0.05,0.0,-0.0067,0.0067,0
Tol_PosX,PosX-Ref L,-168.2754,0.025,-0.025,-168.2721,-0.0033,0
Tol_Flt,Flt-Ref Q,0.0,0.005,0.0,-0.3255,0.3255,2
Tol_Angle,Angle-pos 85,9.0,0.025,-0.025,9.0919,-0.0919,2
Tol_Pos_Pln,Pos-Ref Q,0.0,0.05,0.0,-0.3588,0.3588,2
Tol_PosX,PosX-Ref Q,-117.7417,0.025,-0.025,-117.75569999999999,0.014,0
Tol_Pos_Ln,Pos-Pos 116,0.0,0.1,0.0,-0.0274,0.0274,0
Tol_Pos_Ln,Pos-Pos 5,0.0,0.1,0.0,-1.6186,1.6186,2
Tol_Diam1,Diam1-gat 14,3.016,0.012,0.004,3.032,-0.016,2
Tol_Pos,Pos-gat 14,0.0,0.2,0.0,0.0,0.0,0
Tol_Dst,Dst-sleufje 11,3.016,0.008,0.002,3.032,-0.016,2
Tol_Pos,Pos-sleufje 11 midden,0.0,0.2,0.0,-0.0467,0.0467,0
Tol_Dst,Dst-sleufje 12,3.016,0.008,0.002,3.032,-0.016,2
Tol_Pos,Pos-sleufje 12 midden,0.0,0.2,0.0,0.0,0.0,0
Tol_Dst,Dst-sleufje 13,3.016,0.008,0.002,3.032,-0.016,2
Tol_Pos,Pos-sleufje 13 midden,0.0,0.2,0.0,-0.0467,0.0467,0
Tol_Dst,Dst-sleufje 34,3.016,0.012,0.002,3.032,-0.016,2
Tol_Pos,Pos-sleufje 34 midden,0.0,0.2,0.0,0.0,0.0,0
Tol_Dst,Dst-sleufje 35,3.016,0.012,0.002,3.032,-0.016,2
Tol_Pos,Pos-sleufje 35 midden,0.0,0.2,0.0,0.0,0.0,0
Tol_Dst,Dst-sleufje 36,3.016,0.012,0.002,3.032,-0.016,2
Tol_Pos,Pos-sleufje 36 midden,0.0,0.2,0.0,-0.07,0.07,0
Tol_PosZ,PosZ-Pos 319,15.008,0.05,0.0,15.015999999999998,-0.008,2
Tol_Dst,Dst-pos 311_1,31.336,0.0,-0.05,31.351999999999997,-0.016,0
Tol_Dst,Dst-pos 311_2,31.336,0.0,-0.05,31.351999999999997,-0.016,0
Tol_Dst,Dst-pos 317_1,30.4,0.05,0.0,30.4,0.0,0
Tol_Dst,Dst-pos 317_2,30.4,0.05,0.0,30.4,0.0,0
